[PER-Ленин, Владимир Ильич] [PER-Владимир Ильич Ульянов] (псевдоним [PER-Ленин], Симбирск — 21 января 1924, [LOC-усадьба Горки], Московская губерния) — российский революционер, советский политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.


<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, Владимир <PER>Ильич</PER> <PER><PER>Владимир</PER> Ильич</PER> Ульянов (псевдоним Ленин, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER> <PER>,</PER> <PER>Владимир Ильич</PER> Владимир <PER>Ильич</PER> Ульянов (псевдоним <LOC>Ленин ,</LOC> Симбирск — <LOC>21</LOC> января 1924, усадьба Горки, Московская губерния) — российский революционер, советский политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER>, <PER>Владимир Ильич</PER> <PER>Владимир Ильич</PER> Ульянов (псевдоним <PER>Ленин</PER>, Симбирск — 21 января 1924, <LOC>усадьба Горки</LOC>, Московская губерния) — российский революционер, <LOC>советский</LOC> политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
<PER>Ленин</PER> <PER>,</PER> <PER>Владимир Ильич</PER> Владимир <PER>Ильич</PER> Ульянов (псевдоним <LOC>Ленин ,</LOC> Симбирск — <LOC>21</LOC> января 1924, усадьба Горки, Московская губерния) — российский революционер, советский политический и государственный деятель, создатель Российской социал-демократической рабочей партии (большевиков), один из главных организаторов и руководителей Октябрьской революции 1917 года в России, первый председатель Совета Народных Комиссаров (правительства) РСФСР, создатель первого в мировой истории социалистического государства.
